Run,nTracks1,nTracks1Total,nTracks11,nTracks11Total,nTracks3,nTracks3Total,nTracks13,nTracks13Total,scale
6975,318,628,349,631,278,595,277,565,100
6977,1157,2449,1270,2340,1005,2362,1005,2207,100
6981,791,1663,867,1595,702,1560,709,1487,100
6992,744,1612,828,1539,684,1567,668,1466,100
7001,456,941,494,897,405,918,405,867,100
7021,1000,2182,1122,2047,937,2064,889,1943,100
7028,591,2539,624,2366,499,2373,490,2297,100
7035,244,889,255,849,200,829,199,802,100
7039,2116,4426,2318,4255,1887,4291,1882,4051,100
7045,3479,7186,3840,6834,3091,6817,3062,6501,100
7052,3916,8359,4293,7922,3461,7873,3447,7426,100
7060,3550,7368,3881,7054,3179,7069,3169,6666,100
7066,539,1111,581,1054,472,1074,468,988,100
7071,2033,4318,2265,4154,1853,4205,1864,3998,100
7078,5455,11594,5982,11013,4873,11105,4852,10501,100
7080,853646,1813185,928171,1703828,752007,1704626,748337,1610374,1
7085,862,1747,950,1673,760,1675,761,1593,100
7090,3133,6491,3433,6144,2802,6135,2759,5777,100
7099,6754,14100,7409,13425,6064,13434,6064,12614,100
7106,209,782,232,749,185,753,182,716,100
7110,450,1743,508,1654,400,1642,387,1549,100
7118,5493,11628,6041,10959,4932,10987,4898,10343,100
7125,6655,14007,7334,13311,5958,13293,5908,12576,100
7127,6737,14514,7350,13626,5997,13656,5980,12926,100
7131,7685,16371,8424,15506,6845,15565,6823,14741,100
7144,1352,2911,1475,2760,1195,2751,1190,2637,100
7150,2908,6125,3175,5811,2607,5858,2620,5513,100
7157,3284,6903,3600,6520,2904,6522,2903,6239,100
7160,2060,4328,2254,4112,1801,4094,1798,3884,100
7167,5901,12696,6484,12005,5267,12030,5227,11276,100
7178,1399,3042,1532,2846,1235,2835,1250,2728,100
7183,6041,12927,6623,12252,5351,12246,5308,11558,100
7187,1194,2470,1306,2360,1059,2389,1042,2253,100
7191,6312,13424,6922,12625,5573,12609,5553,11927,100
7196,6030,12493,6612,11823,5345,11919,5291,11247,100
7204,4293,9130,4676,8539,3823,8610,3819,8135,100
7227,1763,3580,1905,3386,1530,3437,1517,3215,100
7237,6709,13971,7404,13266,5959,13456,5930,12694,100
7241,7443,15939,8194,15089,6705,15154,6693,14282,100
7243,2102,4517,2312,4268,1862,4271,1880,4050,100
7247,2140,4457,2303,4270,1877,4285,1887,4075,100
7251,7786,16228,8417,15419,6855,15347,6822,14502,100
7258,7755,16544,8506,15675,6898,15720,6892,14885,100
7263,6092,13108,6781,12455,5478,12543,5445,11778,100
7268,805157,1714481,875988,1610171,709665,1608891,706328,1521275,1
7272,8321,17689,9137,16722,7410,16736,7382,15802,100
7278,6392,13316,6972,12672,5681,12797,5662,12084,100
7298,6957,14678,7605,13887,6152,13951,6161,13133,100
7308,6568,14059,7236,13327,5824,13132,5800,12481,100
7310,6604,13752,7178,13035,5863,13093,5851,12438,100
7319,6753,14255,7358,13532,6020,13611,5968,12833,100
7329,803175,1698904,872856,1597670,707641,1596880,703813,1510048,1
7333,6078,12838,6684,12126,5488,12206,5431,11573,100
7342,667,1431,709,1345,567,1367,567,1265,100
7346,827593,1751580,899940,1643875,729771,1644976,725756,1554299,1
10181,253,959,275,870,226,872,230,846,100
10189,198,622,197,579,155,544,149,517,100
10194,1015,3636,1050,3263,873,3339,891,3194,100
10202,892,3170,903,2900,765,2880,768,2775,100
10204,2193,7488,2306,6894,1928,6789,1960,6557,100
10208,1542,4879,1645,4488,1357,4474,1382,4271,100
10258,1924,6318,2055,5891,1668,5836,1697,5591,100
10282,5256,18329,5482,16921,4507,16616,4518,15968,100
10328,669,2280,689,2075,570,2087,583,2008,100
10382,1815,6127,1887,5692,1527,5558,1567,5396,100
10226,3215,10592,3441,10004,2871,9669,2890,9295,100
10236,4601,16617,4845,15464,4023,15035,4064,14514,100
10246,7434,25166,7878,23505,6461,22765,6629,21874,100
10254,6397,21487,6776,20117,5593,19489,5623,18739,100
10262,4796,17020,5129,16018,4153,15573,4213,14971,100
10272,7919,27971,8397,26140,6923,25432,6975,24505,100
10276,8013,28832,8456,26881,6918,26218,7031,25222,100
10291,7769,28019,8214,26058,6713,25396,6766,24341,100
10295,8531,28817,9007,26831,7388,26289,7438,25321,100
10317,10375,36588,10968,34288,8948,33396,9022,32130,100
10323,11228,40389,11939,37692,9901,36852,10058,35430,100
10333,13844,46290,14665,43187,12019,42198,12104,40505,100
10337,13333,44939,14116,42152,11611,40997,11704,39466,100
10341,13431,45811,14267,42782,11704,41584,11867,40032,100
10345,6462,21695,6802,20200,5596,19574,5681,18828,100
10349,8053,28275,8560,26529,7067,25874,7161,24868,100
10354,12405,43511,13106,40598,10664,39394,10832,38076,100
10359,10700,36112,11325,33692,9377,32697,9445,31393,100
10371,3159,10387,3283,9725,2655,9468,2708,9090,100
10375,12857,43552,13691,40571,11224,39903,11331,38324,100
10386,10627,36298,11242,33801,9235,32877,9326,31754,100
10401,14157,47849,15020,44745,12202,43394,12340,41785,100
10406,13747,46179,14472,43166,11878,41964,11987,40537,100
10411,12973,45970,13694,42912,11245,41919,11340,40288,100
10414,9650,33017,10278,30809,8441,29933,8524,28858,100
10422,8930,29877,9517,28020,7846,27295,7899,26228,100
