run,nTracks1,nTracks11,nTracks3,nTracks13,nTracks1Total,nTracks11Total,nTracks3Total,nTracks13Total,scale
6977,1920,1904,1810,1769,2525,2340,2362,2256,100
6981,1287,1276,1185,1173,1727,1595,1560,1521,100
6992,1214,1217,1175,1152,1666,1539,1567,1513,100
7001,729,733,698,693,960,897,918,890,100
7021,1664,1660,1585,1552,2243,2047,2064,2004,100
7028,936,925,870,861,2615,2366,2373,2321,100
7035,398,390,357,350,914,849,829,809,100
7039,3446,3462,3318,3275,4572,4255,4291,4182,100
7045,5677,5659,5370,5290,7439,6834,6817,6627,100
7052,264,260,254,249,350,313,321,312,100
7060,5772,5759,5437,5358,7650,7054,7069,6851,100
7066,859,859,817,789,1132,1054,1074,1026,100
7071,3399,3393,3258,3225,4486,4154,4205,4092,100
7078,9006,9024,8594,8510,11925,11013,11105,10798,100
7085,1350,1367,1284,1273,1793,1673,1675,1631,100
7090,5102,5065,4732,4673,6684,6144,6135,5959,100
7099,11102,11011,10498,10339,14552,13425,13434,13006,100
7106,338,342,313,306,808,749,753,731,100
7110,703,697,668,658,1808,1654,1642,1608,100
7118,9059,9010,8505,8377,11980,10959,10987,10652,100
7125,10971,10930,10258,10139,14470,13311,13293,12910,100
7127,11270,11111,10446,10334,14950,13626,13656,13289,100
7131,12781,12663,12000,11847,16888,15506,15565,15113,100
7144,2273,2242,2107,2091,2998,2760,2751,2688,100
7150,4778,4700,4503,4432,6352,5811,5858,5671,100
7157,5419,5325,5099,5030,7103,6520,6522,6341,100
7160,3413,3380,3156,3121,4517,4112,4094,3976,100
7167,9796,9741,9213,9071,13127,12005,12030,11644,100
7178,2387,2348,2232,2201,3173,2846,2835,2764,100
7183,10259,10176,9593,9437,13383,12252,12246,11874,100
7187,1997,1998,1864,1840,2541,2360,2389,2314,100
7191,10608,10490,9912,9749,13868,12625,12609,12217,100
7196,9922,9828,9327,9177,12911,11823,11919,11533,100
7204,7168,7070,6698,6605,9396,8539,8610,8375,100
7227,2854,2825,2682,2656,3698,3386,3437,3349,100
7237,11017,10955,10446,10252,14422,13266,13456,12996,100
7241,12614,12513,11851,11682,16464,15089,15154,14694,100
7243,3560,3521,3321,3287,4699,4268,4271,4143,100
7247,3604,3580,3341,3302,4629,4270,4285,4168,100
7251,12835,12742,11984,11817,16771,15419,15347,14907,100
7258,13048,12978,12219,12041,17073,15675,15720,15289,100
7263,10356,10314,9745,9615,13629,12455,12543,12145,100
7272,14002,13877,13073,12881,18264,16722,16736,16224,100
7278,10578,10539,9987,9874,13787,12672,12797,12427,100
7298,11549,11493,10898,10743,15153,13887,13951,13510,100
7308,11028,10931,10247,10118,14516,13327,13132,12770,100
7310,10886,10783,10201,10080,14193,13035,13093,12733,100
7319,11295,11194,10540,10394,14772,13532,13611,13186,100
7333,10145,10038,9583,9428,13275,12126,12206,11833,100
7342,1128,1104,1047,1024,1475,1345,1367,1325,100
10181,733,686,624,622,980,870,872,855,100
10189,510,497,422,418,639,579,544,528,100
10194,2760,2561,2386,2379,3742,3263,3339,3265,100
10202,2467,2293,2072,2043,3274,2900,2880,2790,100
10204,6117,5735,5205,5167,7705,6894,6789,6644,100
10208,4321,4062,3664,3633,5010,4488,4474,4361,100
10226,8802,8489,7550,7482,10927,10004,9669,9423,100
10236,12854,12257,10958,10919,17128,15464,15035,14713,100
10246,20625,19753,17573,17477,25945,23505,22765,22254,100
10254,17638,16880,15008,14945,22154,20117,19489,19073,100
10258,5219,4955,4473,4472,6520,5891,5836,5706,100
10262,13305,12832,11379,11352,17594,16018,15573,15255,100
10272,21883,20946,18713,18701,28870,26140,25432,24967,100
10276,22550,21531,19118,19038,29669,26881,26218,25706,100
10282,14271,13430,12137,12048,18859,16921,16616,16249,100
10291,21912,20893,18564,18455,28866,26058,25396,24837,100
10295,23822,22656,20281,20209,29715,26831,26289,25726,100
10317,28648,27539,24533,24441,37728,34288,33396,32679,100
10323,31669,30306,26947,26819,41669,37692,36852,36040,100
10328,1808,1709,1550,1543,2333,2075,2087,2046,100
10333,38281,36631,32685,32528,47593,43187,42198,41300,100
10337,37052,35472,31592,31499,46465,42152,40997,40160,100
10341,37606,36067,32100,31935,47208,42782,41584,40697,100
10345,17756,16958,15001,14933,22415,20200,19574,19138,100
10349,22191,21256,19079,18980,29128,26529,25874,25351,100
10354,34228,32644,28959,28974,44942,40598,39394,38691,100
10359,29675,28357,25293,25207,37246,33692,32697,32050,100
10371,8435,8073,7232,7156,10717,9725,9468,9216,100
10375,35958,34402,30744,30717,44917,40571,39903,39072,100
10382,5139,4853,4315,4316,6354,5692,5558,5454,100
10386,29837,28536,25415,25344,37487,33801,32877,32224,100
10401,39353,37707,33480,33342,49392,44745,43394,42523,100
10411,35978,34443,30714,30546,47439,42912,41919,40937,100
10414,27305,25941,23034,22927,34132,30809,29933,29296,100
10422,24758,23733,21087,20995,30841,28020,27295,26684,100
10406,38192,36526,32478,32456,47650,43166,41964,41182,100
10406,39334,37612,33438,33402,49086,44457,43226,42399,100
5888,2961876,3044096,2916774,2864203,3042246,3091983,3067724,2984796,100
7080,1412353,1392916,1312084,1293509,1873222,1703828,1704626,1654771,100
7268,1356309,1336710,1254910,1237968,1771843,1610171,1608891,1562648,100
7329,1343389,1324735,1245174,1227947,1755545,1597670,1596880,1550716,100
7346,1381546,1361443,1281118,1262727,1809602,1643875,1644976,1596713,100
10241,2728919,2609361,2323374,2314702,3432991,3107784,3027062,2963193,1
